Site,TransectID,DataCollectionDate
Powerline,82,5/1/2024
Powerline,1,5/1/2024
Bridgeport,75,5/2/2024
Bridgeport,77,5/2/2024
Bridgeport,78,5/2/2024
Bridgeport,76,5/2/2024
Oil Pad,115,4/30/2024
Oil Pad,116,4/30/2024
Oil Pad,113,4/30/2024
Oil Pad,112,4/30/2024
Oil Pad,111,4/30/2024
Oil Pad,108,4/30/2024
Oil Pad,109,4/30/2024
Oil Pad,110,4/30/2024
Oil Pad,117,4/30/2024
Oil Pad,114,4/30/2024
Fram,144,5/2/2024
Fram,137,5/2/2024
Fram,143,5/2/2024
Fram,146,5/2/2024
Fram,147,5/2/2024
Fram,135,5/2/2024
Fram,138,5/2/2024
Fram,142,5/2/2024
Fram,140,5/2/2024
Fram,145,5/2/2024
Fram,136,5/2/2024
Fram,139,5/2/2024
Fram,141,5/2/2024
Escalante Canyon,79,5/1/2024
Escalante Canyon,5,5/1/2024
Escalante Canyon,9,5/1/2024
Escalante Canyon,81,5/1/2024
Escalante Canyon,7,5/1/2024
Escalante Canyon,6,5/1/2024
Escalante Canyon,9,5/1/2024
Escalante Canyon,4,5/1/2024
Escalante Canyon,80,5/1/2024
Escalante Canyon,80,5/1/2024
Escalante Canyon,8,5/1/2024
Escalante Canyon,9,5/1/2024
Picnic Site,10,5/1/2024
Picnic Site,14,5/1/2024
Picnic Site,11,5/1/2024
Picnic Site,12,5/1/2024
Picnic Site,13,5/1/2024
Picnic Site,11,5/1/2024
Pyramid Rock,2,5/3/2024
Pyramid Rock,3,5/3/2024
Pyramid Rock,2,5/3/2024
Pyramid Rock,3,5/3/2024
Pyramid Rock,2,5/3/2024
Atwell Gulch - 108,19,4/29/2024
Atwell Gulch - 108,18,4/29/2024
Atwell Gulch - 108,17,4/29/2024
Atwell Gulch - 108,21,4/29/2024
Atwell Gulch - 108,21,4/29/2024
Atwell Gulch - 108,15,4/29/2024
Atwell Gulch - 108,16,4/29/2024
Atwell Gulch - 108,17,4/29/2024
Atwell Gulch - 165,25,4/29/2024
Atwell Gulch - 165,26,4/29/2024
Atwell Gulch - 165,24,4/29/2024
Atwell Gulch - 165,23,4/29/2024
Pond,29,4/30/2024
Pond,30,4/30/2024
Pond,28,4/30/2024
Pond,28,4/30/2024
Pond,118,4/30/2024
Pond,31,4/30/2024
Pond,30,4/30/2024
Pond,30,4/30/2024
T-Junction,42,4/30/2024
T-Junction,48,4/30/2024
T-Junction,44,4/30/2024
T-Junction,46,4/30/2024
T-Junction,43,4/30/2024
T-Junction,47,4/30/2024
T-Junction,45,4/30/2024
,,
