ScGl_data_id,ScGl_tag_id,year,height,width,flowered,browsed,minis,PhotoNumber,comments,old_data_id,old_pond_data_id,date
1,230,2009,3.4,4.7,y,n,NULL,49,,497,0,NULL
2,230,2010,2.6,4.9,y,n,NULL,2482,,733,0,NULL
3,230,2011,3.8,5.5,y,n,NULL,3216,,1711,0,NULL
4,230,2012,2.4,6,y,n,NULL,,,2738,0,NULL
5,230,2008,NULL,NULL,n,n,NULL,,,378,0,NULL
6,231,2009,2.5,2.7,n,n,NULL,48,real N,495,0,NULL
7,231,2010,1.6,3,n,n,NULL,2481,,738,0,NULL
8,231,2012,1.3,3.7,y,n,NULL,,,2743,0,NULL
9,231,2011,1.8,4.2,y,n,NULL,3217,,1716,0,NULL
10,231,2008,NULL,NULL,n,n,NULL,,2 small together,379,0,NULL
11,232,2012,0.8,1.2,n,n,NULL,,,2733,0,NULL
12,232,2011,1,1.3,n,n,NULL,3218,53.1,1706,0,NULL
13,232,2008,NULL,NULL,n,n,NULL,,2 very tiny growing within on old dead one,380,0,NULL
14,232,2009,NULL,NULL,n,n,NULL,47,dead,494,0,NULL
15,232,2010,NULL,NULL,n,n,NULL,,dead,728,0,NULL
16,233,2009,3,2.7,n,n,NULL,46,,493,0,NULL
17,233,2010,2.1,3.2,n,n,NULL,2477,,759,0,NULL
18,233,2012,2.1,4.2,y,n,NULL,,,2763,0,NULL
19,233,2011,2,4.5,y,n,NULL,3218,,1738,0,NULL
20,233,2008,NULL,NULL,n,n,NULL,,,381,0,NULL
21,234,2009,4.1,3.9,y,n,NULL,45,,492,0,NULL
22,234,2010,3.8,4.4,y,n,NULL,2476,,768,0,NULL
23,234,2012,2.6,5.2,y,n,NULL,,,2773,0,NULL
24,234,2011,4.2,5.9,y,n,NULL,3224,,1748,0,NULL
25,234,2008,NULL,NULL,n,n,NULL,,,382,0,NULL
